
   Id ProcessName                              MainWindowTitle
   -- -----------                              ---------------                  
  768 services                                                                  
12800 ServiceShell                                                              
18940 ShellExperienceHost                                                       
 9624 sihost                                                                    
  472 smss                                                                      
 5088 SMSvcHost                                                                 
 6452 SMSvcHost                                                                 
 4984 snmp                                                                      
 4092 spoolsv                                                                   
 4868 sshd                                                                      
 5044 ss_conn_service                                                           
 5040 ss_conn_service2                                                          
11660 StartMenuExperienceHost                                                   
16040 SupportAssistAgent                                                        
  736 svchost                                                                   
 1092 svchost                                                                   
 1140 svchost                                                                   
 1292 svchost                                                                   
 1328 svchost                                                                   
 1336 svchost                                                                   
 1344 svchost                                                                   
 1352 svchost                                                                   
 1360 svchost                                                                   
 1564 svchost                                                                   
 1620 svchost                                                                   
 1768 svchost                                                                   
 1836 svchost                                                                   
 1936 svchost                                                                   
 1948 svchost                                                                   
 1980 svchost                                                                   
 2064 svchost                                                                   
 2092 svchost                                                                   
 2212 svchost                                                                   
 2264 svchost                                                                   
 2416 svchost                                                                   
 2492 svchost                                                                   
 2500 svchost                                                                   
 2508 svchost                                                                   
 2620 svchost                                                                   
 2684 svchost                                                                   
 2692 svchost                                                                   
 2732 svchost                                                                   
 2872 svchost                                                                   
 2912 svchost                                                                   
 3116 svchost                                                                   
 3268 svchost                                                                   
 3372 svchost                                                                   
 3532 svchost                                                                   
 3536 svchost                                                                   
 3548 svchost                                                                   
 3704 svchost                                                                   
 3788 svchost                                                                   
 3860 svchost                                                                   
 4028 svchost                                                                   
 4244 svchost                                                                   
 4404 svchost                                                                   
 4424 svchost                                                                   
 4432 svchost                                                                   
 4440 svchost                                                                   
 4460 svchost                                                                   
 4508 svchost                                                                   
 4588 svchost                                                                   
 4620 svchost                                                                   
 4636 svchost                                                                   
 4652 svchost                                                                   
 4776 svchost                                                                   
 4832 svchost                                                                   
 4932 svchost                                                                   
 4968 svchost                                                                   
 5172 svchost                                                                   
 5264 svchost                                                                   
 5540 svchost                                                                   
 5588 svchost                                                                   
 6248 svchost                                                                   
 6360 svchost                                                                   
 6768 svchost                                                                   
 7364 svchost                                                                   
 8256 svchost                                                                   
 8736 svchost                                                                   
 8916 svchost                                                                   
 9352 svchost                                                                   
 9404 svchost                                                                   
 9620 svchost                                                                   
 9660 svchost                                                                   
 9680 svchost                                                                   
 9756 svchost                                                                   
 9928 svchost                                                                   
10112 svchost                                                                   
10444 svchost                                                                   
11024 svchost                                                                   
11728 svchost                                                                   
11924 svchost                                                                   
12060 svchost                                                                   
12796 svchost                                                                   
12932 svchost                                                                   
14412 svchost                                                                   
16408 svchost                                                                   
16448 svchost                                                                   
17348 svchost                                                                   
18404 svchost                                                                   
19648 svchost                                                                   
20268 svchost                                                                   
23612 svchost                                                                   
25648 svchost                                                                   
27016 svchost                                                                   
    4 System                                                                    
 2960 SystemSettingsAdminFlows                                                  
12844 SystemSettingsAdminFlows                                                  
17540 SystemSettingsBroker                                                      
 7444 taskhostw                                                                 
10192 taskhostw                                                                 
21956 taskhostw                                                                 
10764 Taskmgr                                  Task Manager                     
 4860 TCPSVCS                                                                   
14548 TextInputHost                            Microsoft Text Input Application 
 6544 TiWorker                                                                  
14440 TrustedInstaller                                                          
10524 unsecapp                                                                  
12332 UserOOBEBroker                                                            
21972 Video.UI                                                                  
16532 WindowsPackageManagerServer                                               
  636 wininit                                                                   
  852 winlogon                                                                  
 4000 wlanext                                                                   
 6268 WmiPrvSE                                                                  
 8180 WmiPrvSE                                                                  
 2160 wsl                                                                       
 9096 wsl                                                                       
14972 wsl                                                                       
28404 wsl                                                                       
 2012 WUDFHost                                                                  
 2772 WUDFHost                                                                  

